Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
934,Exit short,2026-01-27 10:30,Long,26091,1,519905,-1915,-0.37,1560,0.30,-2005,-0.39,-37455,-3.75
934,Entry short,2026-01-27 09:00,Short,25995.25,1,519905,-1915,-0.37,1560,0.30,-2005,-0.39,-37455,-3.75
935,Exit long,2026-01-27 22:00,Short,26213.25,1,521820,2445,0.47,2745,0.53,-1060,-0.20,-35010,-3.50
935,Entry long,2026-01-27 10:30,Long,26091,1,521820,2445,0.47,2745,0.53,-1060,-0.20,-35010,-3.50
936,Exit short,2026-01-27 23:45,Long,26220,1,524265,-135,-0.03,415,0.08,-285,-0.05,-35145,-3.51
936,Entry short,2026-01-27 22:00,Short,26213.25,1,524265,-135,-0.03,415,0.08,-285,-0.05,-35145,-3.51
937,Exit long,2026-01-28 03:45,Short,26279,1,524400,1180,0.23,2580,0.49,0,0.00,-33965,-3.40
937,Entry long,2026-01-27 23:45,Long,26220,1,524400,1180,0.23,2580,0.49,0,0.00,-33965,-3.40
938,Exit short,2026-01-28 05:30,Long,26309.25,1,525580,-605,-0.12,530,0.10,-750,-0.14,-34570,-3.46
938,Entry short,2026-01-28 03:45,Short,26279,1,525580,-605,-0.12,530,0.10,-750,-0.14,-34570,-3.46
939,Exit long,2026-01-28 07:45,Short,26281,1,526185,-565,-0.11,350,0.07,-890,-0.17,-35135,-3.51
939,Entry long,2026-01-28 05:30,Long,26309.25,1,526185,-565,-0.11,350,0.07,-890,-0.17,-35135,-3.51
940,Exit short,2026-01-28 13:30,Long,26155,1,525620,2520,0.48,3605,0.69,-500,-0.10,-32615,-3.26
940,Entry short,2026-01-28 07:45,Short,26281,1,525620,2520,0.48,3605,0.69,-500,-0.10,-32615,-3.26
941,Exit long,2026-01-28 14:15,Short,26122.75,1,523100,-645,-0.12,810,0.15,-780,-0.15,-33260,-3.33
941,Entry long,2026-01-28 13:30,Long,26155,1,523100,-645,-0.12,810,0.15,-780,-0.15,-33260,-3.33
942,Exit short,2026-01-28 14:45,Long,26160.75,1,522455,-760,-0.15,200,0.04,-1750,-0.33,-34020,-3.40
942,Entry short,2026-01-28 14:15,Short,26122.75,1,522455,-760,-0.15,200,0.04,-1750,-0.33,-34020,-3.40
943,Exit long,2026-01-28 18:30,Short,26187.5,1,523215,535,0.10,2705,0.52,-3350,-0.64,-33485,-3.35
943,Entry long,2026-01-28 14:45,Long,26160.75,1,523215,535,0.10,2705,0.52,-3350,-0.64,-33485,-3.35
944,Exit short,2026-01-28 21:45,Long,26162.5,1,523750,500,0.10,2040,0.39,-595,-0.11,-32985,-3.30
944,Entry short,2026-01-28 18:30,Short,26187.5,1,523750,500,0.10,2040,0.39,-595,-0.11,-32985,-3.30
945,Exit long,2026-01-29 02:15,Short,26250,1,523250,1750,0.33,2120,0.41,-10,0.00,-31235,-3.12
945,Entry long,2026-01-28 21:45,Long,26162.5,1,523250,1750,0.33,2120,0.41,-10,0.00,-31235,-3.12
946,Exit short,2026-01-29 12:00,Long,25799.5,1,525000,9010,1.72,14280,2.72,-610,-0.12,-22225,-2.22
946,Entry short,2026-01-29 02:15,Short,26250,1,525000,9010,1.72,14280,2.72,-610,-0.12,-22225,-2.22
947,Exit long,2026-01-29 19:00,Short,25954.5,1,515990,3100,0.60,5010,0.97,-1010,-0.20,-19125,-1.91
947,Entry long,2026-01-29 12:00,Long,25799.5,1,515990,3100,0.60,5010,0.97,-1010,-0.20,-19125,-1.91
948,Exit short,2026-01-29 22:30,Long,25853.5,1,519090,2020,0.39,4370,0.84,-785,-0.15,-17105,-1.71
948,Entry short,2026-01-29 19:00,Short,25954.5,1,519090,2020,0.39,4370,0.84,-785,-0.15,-17105,-1.71
949,Exit long,2026-01-30 01:15,Short,25787.25,1,517070,-1325,-0.26,850,0.16,-1935,-0.37,-18430,-1.84
949,Entry long,2026-01-29 22:30,Long,25853.5,1,517070,-1325,-0.26,850,0.16,-1935,-0.37,-18430,-1.84
950,Exit short,2026-01-30 05:45,Long,25764.75,1,515745,450,0.09,2750,0.53,-535,-0.10,-17980,-1.80
950,Entry short,2026-01-30 01:15,Short,25787.25,1,515745,450,0.09,2750,0.53,-535,-0.10,-17980,-1.80
951,Exit long,2026-01-30 09:15,Short,25833.5,1,515295,1375,0.27,2810,0.55,-245,-0.05,-16605,-1.66
951,Entry long,2026-01-30 05:45,Long,25764.75,1,515295,1375,0.27,2810,0.55,-245,-0.05,-16605,-1.66
952,Exit short,2026-01-30 16:15,Long,25650.5,1,516670,3660,0.71,5295,1.02,-2130,-0.41,-12945,-1.29
952,Entry short,2026-01-30 09:15,Short,25833.5,1,516670,3660,0.71,5295,1.02,-2130,-0.41,-12945,-1.29
953,Exit long,2026-02-01 20:45,Short,25407.25,1,513010,-4865,-0.95,125,0.02,-5535,-1.08,-17810,-1.78
953,Entry long,2026-01-30 16:15,Long,25650.5,1,513010,-4865,-0.95,125,0.02,-5535,-1.08,-17810,-1.78
954,Exit short,2026-02-02 02:45,Long,25348.5,1,508145,1175,0.23,4540,0.89,-850,-0.17,-16635,-1.66
954,Entry short,2026-02-01 20:45,Short,25407.25,1,508145,1175,0.23,4540,0.89,-850,-0.17,-16635,-1.66
955,Exit long,2026-02-02 14:45,Short,25847,1,506970,9970,1.97,12020,2.37,-160,-0.03,-6665,-0.67
955,Entry long,2026-02-02 02:45,Long,25348.5,1,506970,9970,1.97,12020,2.37,-160,-0.03,-6665,-0.67
956,Exit short,2026-02-02 16:45,Long,25873.25,1,516940,-525,-0.10,505,0.10,-1060,-0.21,-7190,-0.72
956,Entry short,2026-02-02 14:45,Short,25847,1,516940,-525,-0.10,505,0.10,-1060,-0.21,-7190,-0.72
957,Exit long,2026-02-02 21:30,Short,25911.5,1,517465,765,0.15,2350,0.45,-135,-0.03,-6425,-0.64
957,Entry long,2026-02-02 16:45,Long,25873.25,1,517465,765,0.15,2350,0.45,-135,-0.03,-6425,-0.64
958,Exit short,2026-02-02 22:30,Long,25960.25,1,518230,-975,-0.19,220,0.04,-995,-0.19,-7400,-0.74
958,Entry short,2026-02-02 21:30,Short,25911.5,1,518230,-975,-0.19,220,0.04,-995,-0.19,-7400,-0.74
959,Exit long,2026-02-03 04:00,Short,25977.5,1,519205,345,0.07,1350,0.26,-280,-0.05,-7055,-0.71
959,Entry long,2026-02-02 22:30,Long,25960.25,1,519205,345,0.07,1350,0.26,-280,-0.05,-7055,-0.71
960,Exit short,2026-02-03 07:45,Long,25981.75,1,519550,-85,-0.02,1080,0.21,-375,-0.07,-7140,-0.71
960,Entry short,2026-02-03 04:00,Short,25977.5,1,519550,-85,-0.02,1080,0.21,-375,-0.07,-7140,-0.71
961,Exit long,2026-02-03 09:15,Short,25934,1,519635,-955,-0.18,435,0.08,-1085,-0.21,-8095,-0.81
961,Entry long,2026-02-03 07:45,Long,25981.75,1,519635,-955,-0.18,435,0.08,-1085,-0.21,-8095,-0.81
962,Exit short,2026-02-03 15:30,Long,25392.25,1,518680,10835,2.09,14300,2.76,-365,-0.07,2740,0.27
962,Entry short,2026-02-03 09:15,Short,25934,1,518680,10835,2.09,14300,2.76,-365,-0.07,2740,0.27
963,Exit long,2026-02-03 18:30,Short,25401,1,507845,175,0.03,1695,0.33,-605,-0.12,2915,0.29
